ts,wired,nyt,guardian,popsci,healthday,newsmed,medpage
2021-04-12 10:00:03.384372,108 (+0),442 (+0),455 (+0),261 (+0),441 (+1),574 (+2),312 (+1)
2021-04-12 11:00:03.427904,108 (+0),442 (+0),455 (+0),261 (+0),442 (+1),576 (+2),313 (+1)
2021-04-12 12:00:02.865878,108 (+0),442 (+0),455 (+0),261 (+0),450 (+8),576 (+0),314 (+1)
2021-04-12 13:00:03.232900,108 (+0),443 (+1),455 (+0),261 (+0),450 (+0),580 (+4),316 (+2)
2021-04-12 14:00:03.887487,108 (+0),443 (+0),455 (+0),261 (+0),450 (+0),583 (+3),318 (+2)
2021-04-12 15:00:03.575486,108 (+0),443 (+0),456 (+1),261 (+0),455 (+5),583 (+0),320 (+2)
2021-04-12 16:00:03.015893,108 (+0),443 (+0),456 (+0),261 (+0),455 (+0),583 (+0),322 (+2)
2021-04-12 17:00:03.067812,108 (+0),444 (+1),456 (+0),261 (+0),455 (+0),590 (+7),324 (+2)
2021-04-12 18:00:03.642991,108 (+0),445 (+1),456 (+0),261 (+0),455 (+0),600 (+10),324 (+0)
2021-04-12 19:00:02.862622,108 (+0),446 (+1),456 (+0),261 (+0),455 (+0),605 (+5),324 (+0)
2021-04-12 20:00:02.850809,108 (+0),446 (+0),456 (+0),261 (+0),455 (+0),606 (+1),324 (+0)
2021-04-12 21:00:03.485146,108 (+0),446 (+0),456 (+0),261 (+0),455 (+0),610 (+4),324 (+0)
2021-04-12 22:00:03.336806,108 (+0),446 (+0),457 (+1),261 (+0),455 (+0),620 (+10),324 (+0)
2021-04-12 23:00:05.334907,108 (+0),446 (+0),457 (+0),261 (+0),455 (+0),629 (+9),324 (+0)
2021-04-13 00:00:03.663548,108 (+0),447 (+1),458 (+1),261 (+0),455 (+0),631 (+2),324 (+0)
2021-04-13 01:00:03.386080,108 (+0),448 (+1),459 (+1),261 (+0),455 (+0),631 (+0),324 (+0)
2021-04-13 02:00:03.220353,108 (+0),448 (+0),460 (+1),261 (+0),455 (+0),631 (+0),324 (+0)
2021-04-13 03:00:03.105086,108 (+0),450 (+2),462 (+2),261 (+0),455 (+0),633 (+2),324 (+0)
2021-04-13 04:00:02.976076,108 (+0),451 (+1),463 (+1),261 (+0),455 (+0),634 (+1),324 (+0)
2021-04-13 05:00:03.372058,110 (+2),453 (+2),463 (+0),261 (+0),457 (+2),635 (+1),324 (+0)
2021-04-13 06:00:03.320409,111 (+1),456 (+3),465 (+2),261 (+0),468 (+11),644 (+9),324 (+0)
2021-04-13 07:00:03.284213,111 (+0),459 (+3),465 (+0),261 (+0),468 (+0),645 (+1),325 (+1)
2021-04-13 08:00:03.688723,111 (+0),461 (+2),466 (+1),261 (+0),470 (+2),646 (+1),326 (+1)
2021-04-13 09:00:03.104816,111 (+0),465 (+4),467 (+1),261 (+0),470 (+0),646 (+0),327 (+1)
2021-04-13 10:00:03.571868,111 (+0),467 (+2),468 (+1),261 (+0),471 (+1),648 (+2),329 (+2)
2021-04-13 11:00:03.982364,111 (+0),469 (+2),470 (+2),261 (+0),471 (+0),648 (+0),331 (+2)
2021-04-13 12:00:07.919858,111 (+0),471 (+2),471 (+1),261 (+0),471 (+0),648 (+0),332 (+1)
2021-04-13 13:00:03.367467,111 (+0),474 (+3),472 (+1),261 (+0),479 (+8),648 (+0),334 (+2)
2021-04-13 14:00:03.927222,111 (+0),476 (+2),472 (+0),261 (+0),479 (+0),648 (+0),336 (+2)
2021-04-13 15:00:03.070255,111 (+0),478 (+2),472 (+0),261 (+0),480 (+1),648 (+0),338 (+2)
2021-04-13 16:00:03.860544,111 (+0),480 (+2),472 (+0),261 (+0),482 (+2),648 (+0),340 (+2)
2021-04-13 17:00:03.511678,111 (+0),482 (+2),472 (+0),261 (+0),482 (+0),653 (+5),341 (+1)
2021-04-13 18:00:03.211144,111 (+0),484 (+2),472 (+0),261 (+0),482 (+0),659 (+6),341 (+0)
2021-04-13 19:00:03.064245,111 (+0),484 (+0),472 (+0),261 (+0),482 (+0),666 (+7),341 (+0)
2021-04-13 20:00:03.066110,111 (+0),484 (+0),472 (+0),261 (+0),482 (+0),673 (+7),341 (+0)
2021-04-13 21:00:03.111550,111 (+0),484 (+0),472 (+0),261 (+0),482 (+0),677 (+4),341 (+0)
2021-04-13 22:00:02.915016,111 (+0),484 (+0),472 (+0),261 (+0),482 (+0),679 (+2),341 (+0)
2021-04-13 23:00:03.179573,111 (+0),484 (+0),473 (+1),261 (+0),482 (+0),681 (+2),341 (+0)
2021-04-14 00:00:05.951316,111 (+0),484 (+0),475 (+2),261 (+0),482 (+0),683 (+2),341 (+0)
2021-04-14 01:00:03.600318,111 (+0),484 (+0),476 (+1),261 (+0),482 (+0),683 (+0),341 (+0)
2021-04-14 02:00:03.443685,111 (+0),484 (+0),477 (+1),261 (+0),482 (+0),683 (+0),341 (+0)
2021-04-14 03:00:03.165874,111 (+0),484 (+0),478 (+1),261 (+0),482 (+0),686 (+3),341 (+0)
2021-04-14 04:00:03.155490,111 (+0),484 (+0),478 (+0),261 (+0),482 (+0),686 (+0),341 (+0)
2021-04-14 05:00:03.444301,112 (+1),484 (+0),478 (+0),261 (+0),484 (+2),688 (+2),341 (+0)
2021-04-14 06:00:03.464760,113 (+1),485 (+1),479 (+1),261 (+0),493 (+9),688 (+0),341 (+0)
2021-04-14 07:00:03.619382,113 (+0),486 (+1),480 (+1),261 (+0),495 (+2),688 (+0),342 (+1)
2021-04-14 08:00:03.504417,113 (+0),488 (+2),482 (+2),261 (+0),497 (+2),688 (+0),344 (+2)
2021-04-14 09:00:03.759995,113 (+0),489 (+1),483 (+1),261 (+0),497 (+0),688 (+0),346 (+2)
2021-04-14 10:00:03.714484,113 (+0),493 (+4),483 (+0),261 (+0),498 (+1),688 (+0),347 (+1)
2021-04-14 11:00:03.445123,113 (+0),493 (+0),484 (+1),261 (+0),498 (+0),688 (+0),348 (+1)
2021-04-14 12:00:03.169445,113 (+0),493 (+0),484 (+0),261 (+0),505 (+7),688 (+0),350 (+2)
2021-04-14 13:00:03.096557,113 (+0),497 (+4),484 (+0),261 (+0),507 (+2),688 (+0),352 (+2)
2021-04-14 14:00:03.322149,113 (+0),497 (+0),484 (+0),261 (+0),507 (+0),688 (+0),353 (+1)
2021-04-14 15:00:03.329011,113 (+0),497 (+0),485 (+1),261 (+0),511 (+4),688 (+0),355 (+2)
2021-04-14 16:00:03.797682,113 (+0),499 (+2),485 (+0),261 (+0),511 (+0),688 (+0),357 (+2)
2021-04-14 17:00:03.225618,113 (+0),499 (+0),485 (+0),261 (+0),511 (+0),688 (+0),359 (+2)
2021-04-14 18:00:03.032708,113 (+0),499 (+0),485 (+0),261 (+0),511 (+0),688 (+0),360 (+1)
2021-04-14 19:00:03.678133,113 (+0),500 (+1),485 (+0),261 (+0),511 (+0),688 (+0),360 (+0)
2021-04-14 20:00:03.372089,113 (+0),501 (+1),485 (+0),261 (+0),511 (+0),690 (+2),360 (+0)
2021-04-14 21:00:03.018282,113 (+0),502 (+1),485 (+0),261 (+0),511 (+0),696 (+6),360 (+0)
